State,District,Sowing_Season,Irrigation_Status,Recommended_Varieties
West Bengal,Dakshin Dinajpur,Summer,Limited Irrigation,Swarna-Sub1; MTU-1061
Bihar,Gaya,Late Kharif,Irrigated,PR 126; PR 121; HKR 47
West Bengal,North 24 Parganas,Summer,Irrigated,Rasi; Lunishree
West Bengal,Hooghly,Rabi,Rainfed,CSR 30; Lunishree
Jharkhand,Hazaribagh,Late Kharif,Rainfed,Birsa Vikas Dhan 109; Saket 4; Gayatri
Tamil Nadu,Tirunelveli,Late Kharif,Limited Irrigation,Indira; MTU-1061; Surendra
Tamil Nadu,Kanyakumari,Kharif,Limited Irrigation,Anjali; Pooja
Punjab,Barnala,Kharif,Rainfed,Birsa Vikas Dhan 109; Punjab Basmati 7
Odisha,Puri,Late Kharif,Rainfed,MCM-100; MTU-1061
Karnataka,Mysore,Kharif,Rainfed,Udaya; Jeerige Sanna
Karnataka,Kodagu,Early Kharif,Irrigated,PR 126; MTU-1224; JGL 1798
West Bengal,Murshidabad,Main Kharif,Irrigated,BPT-2231; PR 128
Andhra Pradesh,East Godavari,Main Kharif,Limited Irrigation,Vandana; CR Dhan 40
Andhra Pradesh,Nellore,Early Rabi,Irrigated,Pusa 1509; IR 64
Tamil Nadu,Kanyakumari,Early Kharif,Irrigated,Hamilton; RNR 15048
Chhattisgarh,Dhamtari,Late Kharif,Limited Irrigation,Udaya; Khandagiri; Ranjit
West Bengal,Howrah,Main Kharif,Rainfed,Lunishree; Birsa Vikas Dhan 109
Andhra Pradesh,Krishna,Summer,Irrigated,MCM-100; SR 26B
Odisha,Sambalpur,Late Kharif,Limited Irrigation,CR Dhan 40; Surendra; Indira
Uttar Pradesh,Jaunpur,Early Kharif,Irrigated,MTU-1010; Mahsuri
Haryana,Kurukshetra,Early Rabi,Limited Irrigation,MTU-1010; Ratna
Jharkhand,Giridih,Kharif,Limited Irrigation,Vandana; Naveen
Odisha,Jagatsinghpur,Summer (Hot Weather),Irrigated,Jaya; MTU-1061; CR Dhan 801
Haryana,Jind,Rabi,Limited Irrigation,Jaya; IR 64
Punjab,Fazilka,Main Rabi,Irrigated,CSR 30; Pusa Basmati 1121; Ratna
Andhra Pradesh,Kadapa,Main Rabi,Rainfed,Birsa Vikas Dhan 109; Rasi; SR 26B
Punjab,Muktsar,Kharif,Irrigated,HKR 47; Swarna (MTU-7029); Pusa 44; MTU-1010
Uttar Pradesh,Chandauli,Main Kharif,Limited Irrigation,Khandagiri; Surendra
Chhattisgarh,Bilaspur,Main Kharif,Rainfed,Annada; Surendra; Ranjit
Chhattisgarh,Bastar,Kharif,Rainfed,Birsa Vikas Dhan 110; Virendra; Indira Barani 1
Assam,Dhubri,Early Rabi,Limited Irrigation,IR64-Sub1; Ratna
West Bengal,Malda,Main Rabi,Limited Irrigation,Badshabhog; MTU-1061
Andhra Pradesh,Krishna,Early Rabi,Limited Irrigation,MTU-1010; CSR 36; SR 26B
West Bengal,North-Eastern Plains - Regional,Rabi,Limited Irrigation,SR 26B; CSR 36; CSR 43; MCM-100
Bihar,Purba Champaran,Kharif,Rainfed,Pooja; Indira
Uttar Pradesh,Maharajganj,Main Rabi,Irrigated,MTU-1010; Jaya
Odisha,Rayagada,Main Rabi,Irrigated,Rasi; Swarna; Swarna-Sub1
Bihar,Muzaffarpur,Main Kharif,Irrigated,JGL 1798; MTU-1121
Punjab,Ludhiana,Main Kharif,Irrigated,Rasi; Sumati; Pusa Basmati 1121
Uttar Pradesh,Chandauli,Main Kharif,Rainfed,Birsa Vikas Dhan 109; Indira
Karnataka,Gadag,Main Rabi,Irrigated,IR 64; Pusa 1509
Tamil Nadu,Tirunelveli,Main Rabi,Irrigated,MTU-1061; Rasi; GR 11
Uttar Pradesh,Siddharthnagar,Main Kharif,Limited Irrigation,Anjali; Annada
Odisha,Bargarh,Kharif,Rainfed,SR 26B; Pratiksha
Jharkhand,Bokaro,Kharif,Limited Irrigation,Sahbhagi Dhan; Pratiksha
Uttar Pradesh,Ambedkar Nagar,Late Kharif,Limited Irrigation,Annada; Indira
Andhra Pradesh,Guntur,Early Kharif,Rainfed,Udaya; Gayatri
Uttar Pradesh,Sultanpur,Rabi,Irrigated,Kala Namak; Taraori Basmati; Khitish; Improved Sabarmati
Odisha,Bolangir,Main Rabi,Limited Irrigation,Hamilton; Pusa 1121; Swarna
Andhra Pradesh,Srikakulam,Rabi,Rainfed,MTU-1010; Nagina 22; GR 11
Jharkhand,Ranchi,Main Rabi,Irrigated,Swarna; CSR 30
Uttar Pradesh,Pratapgarh,Main Rabi,Limited Irrigation,IR 64; Adamchini; Pusa Basmati 1121
Chhattisgarh,Mahasamund,Summer,Irrigated,Khitish; Jeeraphool; Vishnu Bhog; Boro varieties
Assam,Kamrup,Rabi,Irrigated,CR Dhan 801; Satabdi
Tamil Nadu,Ramanathapuram,Late Kharif,Irrigated,MTU-1061; PAU 201; Sumati
Uttar Pradesh,Sultanpur,Late Kharif,Irrigated,Kala Namak; MTU-1010; Pusa Basmati 1121
Karnataka,Koppal,Main Kharif,Irrigated,IR 64; Jeerige Sanna
Haryana,Fatehabad,Early Kharif,Rainfed,Konark; Virendra
Odisha,Bolangir,Kharif,Rainfed,CR Dhan 40; Gayatri
West Bengal,Bardhaman,Early Rabi,Irrigated,Tulaipanji; Badshabhog
Punjab,Patiala,Main Kharif,Limited Irrigation,Pooja; Annada
Karnataka,Dakshina Kannada,Summer (Hot Weather),Irrigated,Khitish; Improved Sabarmati; Satabdi
Punjab,Moga,Main Kharif,Rainfed,Taraori Basmati; Vandana; Anjali
Punjab,Sangrur,Summer (Hot Weather),Irrigated,Rasi; Khitish; Satabdi
Punjab,Mansa,Kharif,Irrigated,PR 126; Vijetha
Andhra Pradesh,Guntur,Rabi,Limited Irrigation,MCM-100; CSR 27; Pusa 1509; Lunishree
Tamil Nadu,Thanjavur,Early Kharif,Irrigated,Swarna (MTU-7029); PR 126
Bihar,Patna,Rabi,Irrigated,Swarna; Rasi
Chhattisgarh,Dhamtari,Main Rabi,Irrigated,Satabdi; Rasi; Swarna
Odisha,Cuttack,Kharif,Rainfed,CSR 27; Swarna-Sub1; Khandagiri; Naveen
Chhattisgarh,Kabirdham,Kharif,Limited Irrigation,Pratiksha; Gayatri
Andhra Pradesh,All,Summer,Irrigated,Ratna; Improved Sabarmati; CSR 36
Tamil Nadu,Cuddalore,Kharif,Rainfed,Pooja; Mahanandi
Odisha,Puri,Summer,Limited Irrigation,MCM-100; Satabdi
Uttar Pradesh,Faizabad,Main Kharif,Irrigated,JGL 384; PR 126
Bihar,Patna,Rabi,Irrigated,Khitish; Swarna-Sub1; Improved Sabarmati
Punjab,Bathinda,Kharif,Rainfed,Birsa Vikas Dhan 110; Naveen; Anjali; Nagina 22
Odisha,Balasore,Late Kharif,Irrigated,PR 130; BPT-2231; Swarna-Sub1
Assam,Dhubri,Rabi,Limited Irrigation,Rasi; MTU-1010
Jharkhand,Giridih,Main Rabi,Irrigated,CSR 30; Pusa 1121; Khitish
Karnataka,Kodagu,Rabi,Irrigated,CSR 30; Improved Sabarmati
Punjab,Sangrur,Late Kharif,Irrigated,PAU 201; JGL 384; Pusa 44
Uttar Pradesh,Shahjahanpur,Main Rabi,Limited Irrigation,Pusa 1509; Kala Namak
Andhra Pradesh,Krishna,Rabi,Rainfed,Pusa 1121; SR 26B
Haryana,Jind,Early Kharif,Limited Irrigation,Lalat; Swarna-Sub1; Surendra
Haryana,Yamunanagar,Early Rabi,Limited Irrigation,IR 64; GR 11
Uttar Pradesh,Sant Ravidas Nagar,Early Kharif,Irrigated,JGL 1798; HKR 47
Jharkhand,Bokaro,Early Rabi,Irrigated,CSR 30; Jaya; GR 11
Punjab,Moga,Kharif,Limited Irrigation,Naveen; CR Dhan 40; Udaya
Andhra Pradesh,East Godavari,Main Rabi,Limited Irrigation,Jaya; Satabdi; MTU-1061
Odisha,Puri,Rabi,Irrigated,GR 11; Lunishree; Hamilton
Haryana,Fatehabad,Kharif,Rainfed,Saket 4; Gayatri; Mahanandi
Uttar Pradesh,Gorakhpur,Late Kharif,Rainfed,Swarna-Sub1; Indira Barani 1
Tamil Nadu,Tiruvarur,Summer,Irrigated,Ratna; MCM-100
Punjab,Ludhiana,Main Kharif,Limited Irrigation,Surendra; Udaya
Chhattisgarh,Rajnandgaon,Summer,Irrigated,Improved Sabarmati; Jaya
Karnataka,Dakshina Kannada,Summer,Irrigated,Rasi; Jeerige Sanna
West Bengal,Hooghly,Rabi,Limited Irrigation,IR 64; MTU-1010
Jharkhand,Lohardaga,Summer,Limited Irrigation,Satabdi; Boro varieties; Khitish
Jharkhand,Lohardaga,Kharif,Rainfed,Virendra; Gayatri; Lalat
Odisha,Bolangir,Summer (Hot Weather),Limited Irrigation,Ratna; Jaya; Hamilton
Uttar Pradesh,Varanasi,Kharif,Limited Irrigation,Konark; Sahbhagi Dhan; Pusa Basmati 1121
Karnataka,Raichur,Main Rabi,Rainfed,Satabdi; Rasi; Mysore Mallige
Haryana,Sirsa,Late Kharif,Rainfed,Gayatri; Ranjit; CR Dhan 40
Punjab,Barnala,Summer,Irrigated,Improved Sabarmati; Pusa Basmati 1121
Punjab,Muktsar,Late Kharif,Rainfed,Naveen; Birsa Vikas Dhan 109
Uttar Pradesh,Ambedkar Nagar,Kharif,Rainfed,Naveen; Pratiksha
Assam,Darrang,Early Rabi,Irrigated,Swarna; Bora Rice; IR64-Sub1
Uttar Pradesh,Chandauli,Early Kharif,Rainfed,Indira; Birsa Vikas Dhan 110; Adamchini
Haryana,Karnal,Summer,Limited Irrigation,IR 64; Boro varieties
West Bengal,Uttar Dinajpur,Main Rabi,Rainfed,Birsa Vikas Dhan 109; IR 64
Assam,Cachar,Early Kharif,Limited Irrigation,Surendra; Konark; Gayatri
Uttar Pradesh,Faizabad,Rabi,Limited Irrigation,CSR 30; IR 64
Odisha,Kalahandi,Early Kharif,Limited Irrigation,Anjali; Ranjit; Udaya
Punjab,Patiala,Early Kharif,Limited Irrigation,Gayatri; Sahbhagi Dhan
Uttar Pradesh,Varanasi,Summer,Irrigated,Kala Namak; Taraori Basmati
Jharkhand,Dhanbad,Main Kharif,Limited Irrigation,Indira; Annada
Chhattisgarh,Bastar,Early Kharif,Rainfed,Anjali; Surendra; Khandagiri
Andhra Pradesh,Prakasam,Rabi,Irrigated,Improved Sabarmati; CSR 30
Haryana,Karnal,Main Kharif,Irrigated,MTU-1121; Sumati; PR 128
Tamil Nadu,Pudukkottai,Early Kharif,Limited Irrigation,Sahbhagi Dhan; Indira
Karnataka,Mandya,Rabi,Irrigated,Jeerige Sanna; Satabdi
Punjab,Muktsar,Main Rabi,Limited Irrigation,Punjab Basmati 7; Pusa 1121; GR 11
Uttar Pradesh,Sant Ravidas Nagar,Summer,Limited Irrigation,IR 64; Rasi
West Bengal,Purba Medinipur,Late Kharif,Limited Irrigation,Hamilton; Indira; Annada
Uttar Pradesh,Gorakhpur,Early Rabi,Irrigated,Ratna; MTU-1010; Rasi
Jharkhand,Dhanbad,Kharif,Rainfed,Anjali; Khandagiri
Karnataka,Mysore,Main Rabi,Limited Irrigation,IR 64; Jeerige Sanna
West Bengal,Bardhaman,Kharif,Rainfed,Lalat; Naveen; MTU-1061
Tamil Nadu,Coimbatore,Kharif,Rainfed,Khandagiri; CSR 43
Andhra Pradesh,Nellore,Summer (Hot Weather),Irrigated,SR 26B; Improved Sabarmati; Rasi
Assam,Nagaon,Kharif,Rainfed,Birsa Vikas Dhan 110; Naveen
Tamil Nadu,Nagapattinam,Early Rabi,Irrigated,Hamilton; MTU-1010; CSR 43
West Bengal,Purba Medinipur,Early Rabi,Irrigated,Satabdi; MCM-100; SR 26B
Bihar,Samastipur,Main Rabi,Limited Irrigation,Pusa 1121; Satabdi; IR64-Sub1
Punjab,Ferozepur,Main Kharif,Rainfed,Birsa Vikas Dhan 109; Swarna-Sub1; Khandagiri
Karnataka,Raichur,Rabi,Rainfed,Sahbhagi Dhan; CR Dhan 40
Punjab,Mansa,Kharif,Limited Irrigation,Khandagiri; Mahanandi
Uttar Pradesh,Muzaffarnagar,Early Kharif,Limited Irrigation,Anjali; Vandana
Bihar,Patna,Main Kharif,Rainfed,Surendra; Pratiksha
Chhattisgarh,Jashpur,Summer,Limited Irrigation,Vishnu Bhog; Ratna
Uttar Pradesh,Pilibhit,Main Kharif,Limited Irrigation,Pusa Basmati 1121; Pratiksha; Lalat
Andhra Pradesh,Srikakulam,Summer,Limited Irrigation,Improved Sabarmati; Satabdi; Lunishree
Tamil Nadu,Pudukkottai,Kharif,Irrigated,CSR 43; PR 121
Jharkhand,Purba Singhbhum,Rabi,Irrigated,CSR 30; Ratna
Tamil Nadu,Nagapattinam,Main Kharif,Rainfed,Swarna-Sub1; Udaya; SR 26B
Jharkhand,Gumla,Early Kharif,Irrigated,IR 64; PR 121
Odisha,Ganjam,Main Kharif,Rainfed,Khandagiri; Mahanandi
Tamil Nadu,Thoothukudi,Summer,Irrigated,CSR 43; Boro varieties; SR 26B; Satabdi
Jharkhand,Ranchi,Rabi,Irrigated,IR 64; Khitish; GR 11
Chhattisgarh,Surguja,Kharif,Irrigated,Sumati; PR 131
Bihar,Gopalganj,Summer,Irrigated,Khitish; Jaya
Uttar Pradesh,Azamgarh,Rabi,Irrigated,CSR 30; Satabdi; IR 64
West Bengal,Uttar Dinajpur,Main Rabi,Limited Irrigation,CSR 36; IR 64
West Bengal,Cooch Behar,Summer,Limited Irrigation,MTU-1061; CSR 36
Uttar Pradesh,Amethi,Kharif,Rainfed,Anjali; Lalat
Uttar Pradesh,Sultanpur,Main Rabi,Limited Irrigation,Taraori Basmati; Kala Namak
Andhra Pradesh,Prakasam,Rabi,Irrigated,CSR 30; MCM-100; Pusa 1121; CSR 43
Odisha,Bolangir,Kharif,Limited Irrigation,Swarna-Sub1; Sahbhagi Dhan; Indira
Tamil Nadu,Tiruchirapalli,Main Kharif,Limited Irrigation,Pratiksha; Lalat; Sahbhagi Dhan
Andhra Pradesh,West Godavari,Rabi,Rainfed,Satabdi; CR Dhan 40; Improved Sabarmati; MTU-1061
Odisha,Koraput,Summer,Limited Irrigation,CSR 43; IR64-Sub1
Haryana,Kurukshetra,Early Kharif,Limited Irrigation,Swarna-Sub1; Anjali
Andhra Pradesh,Krishna,Early Kharif,Irrigated,MTU-1010; JGL 1798
Assam,Cachar,Main Rabi,Irrigated,Kola Joha; Improved Sabarmati; IR64-Sub1
Karnataka,Koppal,Kharif,Rainfed,Mysore Mallige; Nagina 22
West Bengal,Hooghly,Kharif,Irrigated,Kalonunia; HKR 47
Assam,Darrang,Kharif,Limited Irrigation,Konark; Samba Mahsuri-Sub1; Gayatri
Andhra Pradesh,Prakasam,Summer (Hot Weather),Limited Irrigation,Rasi; Satabdi; MCM-100
Punjab,Ferozepur,Main Kharif,Limited Irrigation,Anjali; Pusa Basmati 1121; Naveen
Bihar,Purba Champaran,Rabi,Limited Irrigation,Ciherang-Sub1; Ratna; IR 64; Pusa 1509
Uttar Pradesh,North-Western Plains - Regional,Rabi,Limited Irrigation,Kala Namak; Ratna; Jaya; Pusa 1509
Tamil Nadu,Tiruvarur,Rabi,Irrigated,CSR 43; Rasi
Uttar Pradesh,Amethi,Kharif,Rainfed,Pusa Basmati 1121; Anjali
Chhattisgarh,Mahasamund,Rabi,Irrigated,Swarna; Badshah Bhog; IR 64; MTU-1010
Assam,Sibsagar,Summer,Irrigated,Swarna-Sub1; Kola Joha; Samba Mahsuri-Sub1
West Bengal,Hooghly,Summer,Irrigated,CSR 30; MCM-100
Haryana,Karnal,Main Kharif,Limited Irrigation,Swarna-Sub1; Gayatri; Konark
Uttar Pradesh,Pilibhit,Summer (Hot Weather),Limited Irrigation,Boro varieties; Taraori Basmati; CSR 30
Karnataka,Bellary,Early Kharif,Limited Irrigation,Konark; Pooja; Pratiksha
Odisha,Ganjam,Main Kharif,Limited Irrigation,Udaya; IR64-Sub1; Mahanandi
Assam,Tinsukia,Rabi,Limited Irrigation,MTU-1010; CR Dhan 801; IR 64
Uttar Pradesh,Pilibhit,Early Kharif,Limited Irrigation,Ranjit; Taraori Basmati; Swarna-Sub1
Karnataka,Shimoga,Summer,Irrigated,Improved Sabarmati; Ratna; Mysore Mallige
Andhra Pradesh,Guntur,Early Rabi,Limited Irrigation,Swarna; Ratna
Assam,Tinsukia,Late Kharif,Rainfed,Udaya; Khandagiri
Bihar,Purnia,Late Kharif,Limited Irrigation,Swarna-Sub1; Lalat; CR Dhan 801
West Bengal,Alipurduar,Main Rabi,Limited Irrigation,Satabdi; Hamilton; SR 26B
Tamil Nadu,Pudukkottai,Main Rabi,Irrigated,CSR 27; IR 64
Assam,Cachar,Rabi,Irrigated,CSR 30; Improved Sabarmati; IR 64; GR 11
West Bengal,Dakshin Dinajpur,Main Rabi,Rainfed,Nagina 22; Sahbhagi Dhan; Swarna
Uttar Pradesh,Chandauli,Summer,Irrigated,Adamchini; Jaya; Khitish; Boro varieties
Odisha,Ganjam,Summer,Irrigated,Samba Mahsuri-Sub1; IR 64
Uttar Pradesh,Faizabad,Kharif,Irrigated,Adamchini; MTU-1010
Assam,Darrang,Summer (Hot Weather),Irrigated,Satabdi; Samba Mahsuri-Sub1; Ciherang-Sub1
Andhra Pradesh,East Godavari,Main Rabi,Rainfed,Satabdi; Nagina 22
Jharkhand,Ranchi,Late Kharif,Limited Irrigation,Indira; Pratiksha
West Bengal,Murshidabad,Kharif,Irrigated,JGL 1798; Vijetha
Chhattisgarh,Mahasamund,Rabi,Irrigated,Badshah Bhog; Swarna
Assam,Kokrajhar,Summer,Irrigated,CSR 30; Jaya; Kola Joha; CR Dhan 801
Karnataka,Mandya,Late Kharif,Limited Irrigation,Anjali; Sahbhagi Dhan; Vandana
Bihar,Gopalganj,Kharif,Limited Irrigation,Surendra; Swarna-Sub1; CR Dhan 801
Punjab,Malerkotla,Main Kharif,Rainfed,Virendra; Taraori Basmati; CR Dhan 40
Assam,Tinsukia,Main Rabi,Limited Irrigation,IR 64; Khitish
Odisha,Rayagada,Late Kharif,Limited Irrigation,Pratiksha; Hamilton; CSR 27
Karnataka,Raichur,Kharif,Irrigated,Pusa 44; MTU-1010; MTU-1121; IR 64
West Bengal,Uttar Dinajpur,Main Kharif,Limited Irrigation,Ciherang-Sub1; Lalat; Swarna-Sub1
Tamil Nadu,Pudukkottai,Early Rabi,Rainfed,Saket 4; Pusa 1121
Punjab,Sangrur,Summer,Limited Irrigation,Punjab Basmati 7; Pusa Basmati 1121
Bihar,Bhojpur,Summer (Hot Weather),Irrigated,Boro varieties; Ratna; Rasi
Odisha,Puri,Late Kharif,Rainfed,MCM-100; Lunishree
Haryana,Kaithal,Late Kharif,Limited Irrigation,Sahbhagi Dhan; CR Dhan 40
West Bengal,Dakshin Dinajpur,Main Kharif,Limited Irrigation,Gayatri; MCM-100; Indira
West Bengal,Murshidabad,Rabi,Limited Irrigation,MTU-1061; CSR 43
Punjab,Bathinda,Early Kharif,Irrigated,PR 130; PR 131
Tamil Nadu,Thanjavur,Summer,Irrigated,Lunishree; Jaya; Rasi; Hamilton
Andhra Pradesh,Krishna,Summer (Hot Weather),Irrigated,SR 26B; Rasi; CSR 36
Haryana,Kurukshetra,Main Kharif,Irrigated,HKR 47; JGL 384; PR 121
Odisha,Puri,Summer (Hot Weather),Irrigated,IR 64; MTU-1061
Bihar,All,Summer,Irrigated,IR 64; Ratna; Rasi
Uttar Pradesh,Ballia,Kharif,Irrigated,MTU-1224; PAU 201
Punjab,Barnala,Rabi,Limited Irrigation,Rasi; Satabdi
Punjab,Pathankot,Main Kharif,Limited Irrigation,Konark; Udaya
Punjab,Bathinda,Rabi,Limited Irrigation,Punjab Basmati 7; Improved Sabarmati; Pusa 1509
Uttar Pradesh,Chandauli,Rabi,Irrigated,Kala Namak; GR 11
Odisha,Bolangir,Early Kharif,Limited Irrigation,Pooja; CSR 27
Chhattisgarh,Bastar,Late Kharif,Irrigated,PR 126; Mahsuri; PR 121
Bihar,Madhubani,Kharif,Rainfed,Indira Barani 1; Pratiksha
Tamil Nadu,Nagapattinam,Main Kharif,Limited Irrigation,Hamilton; Gayatri; Pratiksha
Karnataka,Uttar Kannada,Rabi,Limited Irrigation,Jaya; Pusa 1121
Andhra Pradesh,Guntur,Late Kharif,Rainfed,SR 26B; Surendra; CR Dhan 40
Assam,Sibsagar,Main Kharif,Rainfed,Konark; Anjali
Tamil Nadu,Tirunelveli,Summer,Limited Irrigation,Hamilton; MTU-1061; CSR 30; SR 26B
Jharkhand,Lohardaga,Late Kharif,Irrigated,MTU-1121; Vijetha
Karnataka,Gadag,Summer,Limited Irrigation,CSR 30; IR 64
Odisha,Nuapada,Summer,Limited Irrigation,Khitish; Hamilton
Assam,Nagaon,Rabi,Irrigated,Swarna-Sub1; Jaya
Andhra Pradesh,Guntur,Main Kharif,Irrigated,MTU-1224; Hamilton
Bihar,Patna,Rabi,Limited Irrigation,IR 64; MTU-1010; Satabdi
Chhattisgarh,Korba,Rabi,Limited Irrigation,Satabdi; Jeeraphool
West Bengal,Purulia,Early Rabi,Limited Irrigation,Radhunipagal; IR64-Sub1; CSR 43
Karnataka,Uttar Kannada,Early Rabi,Rainfed,Pusa 1509; Swarna; Improved Sabarmati
Bihar,Begusarai,Early Rabi,Irrigated,IR 64; MTU-1010
Chhattisgarh,Bastar,Summer,Limited Irrigation,Satabdi; Dubraj; Vishnu Bhog; Khitish
Assam,Sibsagar,Kharif,Rainfed,Ranjit; Konark
Uttar Pradesh,Sitapur,Main Kharif,Limited Irrigation,Pusa Basmati 1121; Konark
Tamil Nadu,Nagapattinam,Late Kharif,Limited Irrigation,Lunishree; Mahanandi
West Bengal,Darjeeling,Main Rabi,Rainfed,Radhunipagal; Sahbhagi Dhan
Assam,Cachar,Main Rabi,Irrigated,Pusa 1509; Swarna
Andhra Pradesh,Prakasam,Kharif,Limited Irrigation,Annada; Naveen; Lunishree
Chhattisgarh,Raipur,Summer (Hot Weather),Limited Irrigation,IR 64; Ratna
Haryana,Karnal,Rabi,Limited Irrigation,Improved Sabarmati; Rasi
Chhattisgarh,Raipur,Early Kharif,Rainfed,Konark; Badshah Bhog; Indira Barani 1
Assam,Jorhat,Summer,Limited Irrigation,Joha Rice; Satabdi
Haryana,Fatehabad,Main Rabi,Limited Irrigation,IR 64; Rasi; MTU-1010
West Bengal,Bankura,Rabi,Rainfed,SR 26B; Pusa 1121; Hamilton; Nagina 22
Andhra Pradesh,Anantapur,Rabi,Irrigated,CSR 36; MCM-100
Punjab,Faridkot,Rabi,Limited Irrigation,Jaya; Pusa 1509
West Bengal,Purba Medinipur,Early Kharif,Rainfed,Pooja; Nagina 22
Karnataka,Tumkur,Rabi,Limited Irrigation,MTU-1010; Improved Sabarmati
Punjab,Muktsar,Early Kharif,Limited Irrigation,Surendra; Swarna-Sub1; CR Dhan 40
Karnataka,Kodagu,Late Kharif,Limited Irrigation,Annada; Ranjit
Punjab,Faridkot,Kharif,Irrigated,MTU-1121; Taraori Basmati; MTU-1224; HKR 47
Karnataka,Gadag,Early Rabi,Irrigated,Pusa 1121; Jaya
Odisha,Keonjhar,Main Kharif,Irrigated,MTU-1061; PR 128
Haryana,Fatehabad,Kharif,Limited Irrigation,Ranjit; Pratiksha; Lalat
