State,District,Sowing_Season,Irrigation_Status,Recommended_Varieties
Karnataka,Haveri,Main Kharif,Irrigated,MM 9344; Navjot; CO 6
Karnataka,Haveri,Main Kharif,Rainfed,MM 9344; Paravati
Karnataka,Haveri,Main Kharif,Limited Irrigation,NAH-2049; Amber; Him 123
Karnataka,Haveri,Late Kharif,Irrigated,NAH-2049; NMH-731; P2848W; PMH-3
Karnataka,Haveri,Late Kharif,Rainfed,CO 6; NMH-731; Amber
Karnataka,Haveri,Late Kharif,Limited Irrigation,CO 6; NMH-731; Him 123
Karnataka,Haveri,Early Rabi,Irrigated,MM 9344; P2809W; HQPM-7
Karnataka,Haveri,Early Rabi,Rainfed,Deccan Hybrid; Aadarsh 3636; Aadarsh 3636
Karnataka,Haveri,Early Rabi,Limited Irrigation,MM 9344; CT 1188; DMRH-1305
Karnataka,Haveri,Main Rabi,Irrigated,MM 9344; Gujarat Anand White Maize Hybrid-2; DMRH-1308
Karnataka,Haveri,Main Rabi,Rainfed,MM 9344; Prakash; Amber
Karnataka,Haveri,Main Rabi,Limited Irrigation,Deccan Hybrid; PEH-2; Him 123
Karnataka,Haveri,Late Rabi,Irrigated,MM 9344; Kaushal 3339; CO 6; NAH-2049
Karnataka,Haveri,Late Rabi,Rainfed,MM 9344; CT 7722
Karnataka,Haveri,Late Rabi,Limited Irrigation,NAH-2049; CT 7722
Karnataka,Bellary,Kharif,Irrigated,NAH-2049; DMRH-1301; CO 6
Karnataka,Bellary,Kharif,Rainfed,Deccan Hybrid; MM 9344
Karnataka,Bellary,Kharif,Limited Irrigation,Deccan Hybrid; DMRH-1301
Karnataka,Bellary,Rabi,Irrigated,Deccan Hybrid; Kaushal 3339
Karnataka,Bellary,Rabi,Rainfed,Deccan Hybrid; Kaushal 3339
Karnataka,Bellary,Rabi,Limited Irrigation,NAH-2049; Kaushal 3339; Malwa King
Karnataka,Bellary,Summer,Irrigated,Deccan Hybrid; Hi-Starch
Karnataka,Bellary,Summer,Rainfed,CO 6; P2809W; Amber; Almora Sweet Corn
Karnataka,Bellary,Summer,Limited Irrigation,NAH-2049; P2809W
Karnataka,Bellary,Early Kharif,Irrigated,MM 9344; Early Composite; DMRH-1308; P2848W
Karnataka,Bellary,Early Kharif,Rainfed,MM 9344; Pusa Extra Early Hybrid Makka-5; Vijay; Diyara Composite
Karnataka,Bellary,Early Kharif,Limited Irrigation,MM 9344; DHM 115; Him 123
Karnataka,Bellary,Main Kharif,Irrigated,NAH-2049; Malwa King
Karnataka,Bellary,Main Kharif,Rainfed,MM 9344; P2848W; Aadarsh 3636; CT 1188
Karnataka,Bellary,Main Kharif,Limited Irrigation,CO 6; Gujarat Anand White Maize Hybrid-2; Malwa King; Early Composite
Karnataka,Bellary,Late Kharif,Irrigated,MM 9344; Late varieties; CO 6
Karnataka,Bellary,Late Kharif,Rainfed,NAH-2049; NMH-731; Aadarsh 3636
Karnataka,Bellary,Late Kharif,Limited Irrigation,NAH-2049; PMH-3
Karnataka,Bellary,Early Rabi,Irrigated,NAH-2049; Aadarsh 3636; DMRH-1308
Karnataka,Bellary,Early Rabi,Rainfed,MM 9344; CT 1188; Amber; African Tall
Karnataka,Bellary,Early Rabi,Limited Irrigation,MM 9344; P2809W; Malwa King; Kaushal 3339
Karnataka,Bellary,Main Rabi,Irrigated,CO 6; Pusa HM4 Improved; P2848W
Karnataka,Bellary,Main Rabi,Rainfed,NAH-2049; Shaktiman-1; Aadarsh 3636; PHB 30B50
Karnataka,Bellary,Main Rabi,Limited Irrigation,MM 9344; HQPM-1; Prakash; VL Popcorn
Karnataka,Bellary,Late Rabi,Irrigated,CO 6; CT 7722; DMRH-1308
Karnataka,Bellary,Late Rabi,Rainfed,CO 6; Kaushal 3339; Aadarsh 3636; Pratap Hybrid Maize-1
Karnataka,Bellary,Late Rabi,Limited Irrigation,NAH-2049; Kaushal 3339; DMRH-1305
Karnataka,Chitradurga,Kharif,Irrigated,NAH-2049; DMRH-1301; HQPM-7
Karnataka,Chitradurga,Kharif,Rainfed,NAH-2049; CO 6; Aadarsh 3636
Karnataka,Chitradurga,Kharif,Limited Irrigation,NAH-2049; Bisco 855
Karnataka,Chitradurga,Rabi,Irrigated,Deccan Hybrid; CT 7722; CO 6
Karnataka,Chitradurga,Rabi,Rainfed,MM 9344; P2848W
Karnataka,Chitradurga,Rabi,Limited Irrigation,Deccan Hybrid; Kaushal 3339
Karnataka,Chitradurga,Summer,Irrigated,NAH-2049; P2809W
Karnataka,Chitradurga,Summer,Rainfed,MM 9344; P2848W
Karnataka,Chitradurga,Summer,Limited Irrigation,MM 9344; Hi-Starch; Malwa King; Paras
Karnataka,Chitradurga,Early Kharif,Irrigated,CO 6; Early Composite; DMRH-1308; Ganga Hybrid-1
Karnataka,Chitradurga,Early Kharif,Rainfed,Deccan Hybrid; DHM 115
Karnataka,Chitradurga,Early Kharif,Limited Irrigation,MM 9344; Early Composite
Karnataka,Chitradurga,Main Kharif,Irrigated,NAH-2049; PMH 17
Karnataka,Chitradurga,Main Kharif,Rainfed,CO 6; CP 988; Diyara Composite; Amber Popcorn
Karnataka,Chitradurga,Main Kharif,Limited Irrigation,MM 9344; Madhuri; Malwa King; COH(M) 8
Karnataka,Chitradurga,Late Kharif,Irrigated,CO 6; NMH-731; DMRH-1308; Gujarat Anand White Maize Hybrid-2
Karnataka,Chitradurga,Late Kharif,Rainfed,NAH-2049; PMH-3
Karnataka,Chitradurga,Late Kharif,Limited Irrigation,NAH-2049; Late varieties
Karnataka,Chitradurga,Early Rabi,Irrigated,MM 9344; CT 1188; DMRH-1308
Karnataka,Chitradurga,Early Rabi,Rainfed,NAH-2049; P2809W; Vijay; Ganga-7
Karnataka,Chitradurga,Early Rabi,Limited Irrigation,Deccan Hybrid; Aadarsh 3636
Karnataka,Chitradurga,Main Rabi,Irrigated,CO 6; NMH-731; CO 6
Karnataka,Chitradurga,Main Rabi,Rainfed,MM 9344; Pioneer 3342; Aadarsh 3636; Pratap Hybrid Maize-1
Karnataka,Chitradurga,Main Rabi,Limited Irrigation,MM 9344; HQPM-5
Karnataka,Chitradurga,Late Rabi,Irrigated,CO 6; CT 7722; CO 6
Karnataka,Chitradurga,Late Rabi,Rainfed,Deccan Hybrid; CT 7722; Vijay; Pusa HM4 Improved
Karnataka,Chitradurga,Late Rabi,Limited Irrigation,MM 9344; Raakhi 1899; Malwa King
Karnataka,Davangere,Kharif,Irrigated,Deccan Hybrid; CO 6; P2848W; Pusa HM8 Improved
Karnataka,Davangere,Kharif,Rainfed,Deccan Hybrid; CO 6; Diyara Composite; Pioneer 3342
Karnataka,Davangere,Kharif,Limited Irrigation,MM 9344; DMRH-1301; Malwa King; Sartaj
Karnataka,Davangere,Rabi,Irrigated,CO 6; CT 7722; DMRH-1308; Sweet corn Hybrid VH-44
Karnataka,Davangere,Rabi,Rainfed,Deccan Hybrid; P2848W; Vijay; Rajendra Makka-1
Karnataka,Davangere,Rabi,Limited Irrigation,NAH-2049; CT 7722; Him 123; Almora Sweet Corn
Karnataka,Davangere,Summer,Irrigated,CO 6; Sugar 75; HQPM-7
Karnataka,Davangere,Summer,Rainfed,Deccan Hybrid; Hi-Starch; Aadarsh 3636; DK-701
Karnataka,Davangere,Summer,Limited Irrigation,Deccan Hybrid; Hi-Starch; Prakash
Karnataka,Davangere,Early Kharif,Irrigated,CO 6; Pusa Extra Early Hybrid Makka-5; CO 6; Paravati
Karnataka,Davangere,Early Kharif,Rainfed,MM 9344; Pusa Extra Early Hybrid Makka-5; Diyara Composite
Karnataka,Davangere,Early Kharif,Limited Irrigation,MM 9344; DHM 115
Karnataka,Davangere,Main Kharif,Irrigated,MM 9344; Ganga-4; CO 6
Karnataka,Davangere,Main Kharif,Rainfed,CO 6; Rattan; Aadarsh 3636
Karnataka,Davangere,Main Kharif,Limited Irrigation,NAH-2049; Aadarsh 3636
Karnataka,Davangere,Late Kharif,Irrigated,MM 9344; NMH-731
Karnataka,Davangere,Late Kharif,Rainfed,MM 9344; Late varieties; Amber; Gujarat Makai-6
Karnataka,Davangere,Late Kharif,Limited Irrigation,NAH-2049; PMH-3
Karnataka,Davangere,Early Rabi,Irrigated,NAH-2049; Aadarsh 3636; CO 6; NAH-2049
Karnataka,Davangere,Early Rabi,Rainfed,MM 9344; Aadarsh 3636; Vijay
Karnataka,Davangere,Early Rabi,Limited Irrigation,NAH-2049; P2809W; Malwa King; Amber Popcorn
Karnataka,Davangere,Main Rabi,Irrigated,Deccan Hybrid; Vijay; CO 6
Karnataka,Davangere,Main Rabi,Rainfed,Deccan Hybrid; Paras
Karnataka,Davangere,Main Rabi,Limited Irrigation,Deccan Hybrid; Rattan
Karnataka,Davangere,Late Rabi,Irrigated,CO 6; Kaushal 3339; CO 6
Karnataka,Davangere,Late Rabi,Rainfed,CO 6; Kaushal 3339; Aadarsh 3636; Maize Hybrid AH-58
Karnataka,Davangere,Late Rabi,Limited Irrigation,CO 6; Kaushal 3339; Him 123; KH 5991
Karnataka,Mysuru,Kharif,Irrigated,MM 9344; MM 9344; HQPM-7; DMRH-1308
Karnataka,Mysuru,Kharif,Rainfed,NAH-2049; Bisco 855
Karnataka,Mysuru,Kharif,Limited Irrigation,CO 6; Bisco 855; Him 123; Paras
Karnataka,Mysuru,Rabi,Irrigated,NAH-2049; CT 7722
Karnataka,Mysuru,Rabi,Rainfed,MM 9344; CT 7722; Vijay; Madhuri
Karnataka,Mysuru,Rabi,Limited Irrigation,Deccan Hybrid; P2848W; Prakash; Kissan Composite
Karnataka,Mysuru,Summer,Irrigated,NAH-2049; P2848W
Karnataka,Mysuru,Summer,Rainfed,CO 6; P2809W; Vijay; VL Baby corn 1
Karnataka,Mysuru,Summer,Limited Irrigation,NAH-2049; P2848W; Malwa King
Karnataka,Mysuru,Early Kharif,Irrigated,CO 6; DHM 115; HQPM-7
Karnataka,Mysuru,Early Kharif,Rainfed,NAH-2049; DHM 115; Diyara Composite; Aadarsh 3636
Karnataka,Mysuru,Early Kharif,Limited Irrigation,NAH-2049; Prakash; Him 123
Karnataka,Mysuru,Main Kharif,Irrigated,CO 6; Amber
Karnataka,Mysuru,Main Kharif,Rainfed,NAH-2049; VL Baby corn 1; Vijay; Diyara Composite
Karnataka,Mysuru,Main Kharif,Limited Irrigation,Deccan Hybrid; Bisco 555; Him 123
Karnataka,Mysuru,Late Kharif,Irrigated,MM 9344; Late varieties; P2848W
Karnataka,Mysuru,Late Kharif,Rainfed,MM 9344; NMH-731
Karnataka,Mysuru,Late Kharif,Limited Irrigation,Deccan Hybrid; Late varieties; Him 123; Deccan Hybrid
Karnataka,Mysuru,Early Rabi,Irrigated,CO 6; P2809W; DMRH-1308; Pusa HM-9 Improved
Karnataka,Mysuru,Early Rabi,Rainfed,CO 6; Aadarsh 3636; Amber
Karnataka,Mysuru,Early Rabi,Limited Irrigation,MM 9344; Aadarsh 3636; DMRH-1305
Karnataka,Mysuru,Main Rabi,Irrigated,MM 9344; Partap Kanchan-2; CO 6
Karnataka,Mysuru,Main Rabi,Rainfed,CO 6; Pearl Popcorn; Aadarsh 3636
Karnataka,Mysuru,Main Rabi,Limited Irrigation,Deccan Hybrid; Early Composite; Prakash
Karnataka,Mysuru,Late Rabi,Irrigated,NAH-2049; Kaushal 3339; DMRH-1308; Pusa Vivek QPM9 Improved
Karnataka,Mysuru,Late Rabi,Rainfed,Deccan Hybrid; Kaushal 3339; Diyara Composite
Karnataka,Mysuru,Late Rabi,Limited Irrigation,CO 6; Kaushal 3339
Karnataka,Hassan,Kharif,Irrigated,CO 6; MM 9344; HQPM-7; Navjot
Karnataka,Hassan,Kharif,Rainfed,CO 6; MM 9344; Amber; Gujarat Makai-6
Karnataka,Hassan,Kharif,Limited Irrigation,Deccan Hybrid; CO 6
Karnataka,Hassan,Rabi,Irrigated,CO 6; CT 7722
Karnataka,Hassan,Rabi,Rainfed,Deccan Hybrid; Kaushal 3339
Karnataka,Hassan,Rabi,Limited Irrigation,Deccan Hybrid; P2848W; Him 123; Kissan Composite
Karnataka,Hassan,Summer,Irrigated,MM 9344; P2848W; DMRH-1308
Karnataka,Hassan,Summer,Rainfed,NAH-2049; Sugar 75; Vijay; Malwa King
Karnataka,Hassan,Summer,Limited Irrigation,MM 9344; Sugar 75
Karnataka,Hassan,Early Kharif,Irrigated,Deccan Hybrid; Prakash; P2848W; Pioneer 3342
Karnataka,Hassan,Early Kharif,Rainfed,NAH-2049; Pusa Extra Early Hybrid Makka-5; Diyara Composite; PR 132
Karnataka,Hassan,Early Kharif,Limited Irrigation,Deccan Hybrid; Prakash; DMRH-1305
Karnataka,Hassan,Main Kharif,Irrigated,NAH-2049; Hi-Starch; CO 6
Karnataka,Hassan,Main Kharif,Rainfed,NAH-2049; PFM-66; Aadarsh 3636
Karnataka,Hassan,Main Kharif,Limited Irrigation,CO 6; Bisco 855; Him 123
Karnataka,Hassan,Late Kharif,Irrigated,Deccan Hybrid; NMH-731
Karnataka,Hassan,Late Kharif,Rainfed,NAH-2049; NMH-731; Vijay
Karnataka,Hassan,Late Kharif,Limited Irrigation,MM 9344; PMH-3; Him 123; PMH-10
Karnataka,Hassan,Early Rabi,Irrigated,NAH-2049; P2809W; HQPM-7; Ganga Safed-2
Karnataka,Hassan,Early Rabi,Rainfed,CO 6; P2809W
Karnataka,Hassan,Early Rabi,Limited Irrigation,Deccan Hybrid; CT 1188; DMRH-1305
Karnataka,Hassan,Main Rabi,Irrigated,Deccan Hybrid; Sugar 75; P2848W
Karnataka,Hassan,Main Rabi,Rainfed,NAH-2049; Gujarat Anand White Maize Hybrid-2
Karnataka,Hassan,Main Rabi,Limited Irrigation,CO 6; DMRH-1301; Him 123
Karnataka,Hassan,Late Rabi,Irrigated,Deccan Hybrid; Kaushal 3339
Karnataka,Hassan,Late Rabi,Rainfed,MM 9344; CT 7722; Amber; HQPM-28
Karnataka,Hassan,Late Rabi,Limited Irrigation,Deccan Hybrid; Kaushal 3339; DMRH-1305
Karnataka,Mandya,Kharif,Irrigated,Deccan Hybrid; DMRH-1301
Karnataka,Mandya,Kharif,Rainfed,MM 9344; Bisco 855; Aadarsh 3636
Karnataka,Mandya,Kharif,Limited Irrigation,Deccan Hybrid; MM 9344; Him 123
Karnataka,Mandya,Rabi,Irrigated,MM 9344; CT 7722
Karnataka,Mandya,Rabi,Rainfed,Deccan Hybrid; DMRH-1308
Karnataka,Mandya,Rabi,Limited Irrigation,CO 6; CT 7722
Karnataka,Mandya,Summer,Irrigated,MM 9344; Sugar 75; HQPM-7
Karnataka,Mandya,Summer,Rainfed,CO 6; Hi-Starch
Karnataka,Mandya,Summer,Limited Irrigation,Deccan Hybrid; Sugar 75
Karnataka,Mandya,Early Kharif,Irrigated,NAH-2049; Pusa Extra Early Hybrid Makka-5
Karnataka,Mandya,Early Kharif,Rainfed,NAH-2049; Prakash; Aadarsh 3636; HQPM-28
Karnataka,Mandya,Early Kharif,Limited Irrigation,MM 9344; Early Composite
Karnataka,Mandya,Main Kharif,Irrigated,Deccan Hybrid; Diyara Composite
Karnataka,Mandya,Main Kharif,Rainfed,MM 9344; Bright Gene
Karnataka,Mandya,Main Kharif,Limited Irrigation,NAH-2049; Pusa Vivek QPM9 Improved; DMRH-1305; Ganga Safed-2
Karnataka,Mandya,Late Kharif,Irrigated,Deccan Hybrid; Late varieties; HQPM-7
Karnataka,Mandya,Late Kharif,Rainfed,CO 6; NMH-731; Vijay
Karnataka,Mandya,Late Kharif,Limited Irrigation,CO 6; Late varieties
Karnataka,Mandya,Early Rabi,Irrigated,Deccan Hybrid; P2809W
Karnataka,Mandya,Early Rabi,Rainfed,MM 9344; Aadarsh 3636; Diyara Composite; MMH 133
Karnataka,Mandya,Early Rabi,Limited Irrigation,MM 9344; CT 1188; Prakash; HM-10
Karnataka,Mandya,Main Rabi,Irrigated,Deccan Hybrid; HM-12; P2848W
Karnataka,Mandya,Main Rabi,Rainfed,NAH-2049; KMH-3426; Diyara Composite
Karnataka,Mandya,Main Rabi,Limited Irrigation,Deccan Hybrid; Paravati
Karnataka,Mandya,Late Rabi,Irrigated,Deccan Hybrid; CT 7722; HQPM-7; Mitra
Karnataka,Mandya,Late Rabi,Rainfed,CO 6; Kaushal 3339; Aadarsh 3636
Karnataka,Mandya,Late Rabi,Limited Irrigation,NAH-2049; Raakhi 1899
Karnataka,Tumakuru,Kharif,Irrigated,CO 6; DMRH-1301
Karnataka,Tumakuru,Kharif,Rainfed,MM 9344; CO 6
Karnataka,Tumakuru,Kharif,Limited Irrigation,MM 9344; MM 9344; Malwa King
Karnataka,Tumakuru,Rabi,Irrigated,MM 9344; CT 7722; P2848W; Partap Kanchan-2
Karnataka,Tumakuru,Rabi,Rainfed,CO 6; CT 7722; Vijay; Naveen Composite
Karnataka,Tumakuru,Rabi,Limited Irrigation,MM 9344; Kaushal 3339; Malwa King; Ganga Safed-2
Karnataka,Tumakuru,Summer,Irrigated,NAH-2049; P2848W; DMRH-1308
Karnataka,Tumakuru,Summer,Rainfed,Deccan Hybrid; Hi-Starch; Diyara Composite; Vivek QPM 9
Karnataka,Tumakuru,Summer,Limited Irrigation,MM 9344; P2848W
Karnataka,Tumakuru,Early Kharif,Irrigated,Deccan Hybrid; Early Composite
Karnataka,Tumakuru,Early Kharif,Rainfed,Deccan Hybrid; Early Composite
Karnataka,Tumakuru,Early Kharif,Limited Irrigation,CO 6; DHM 115; DMRH-1305; Shaktiman-3
Karnataka,Tumakuru,Main Kharif,Irrigated,CO 6; NMH-731; CO 6; Vivek QPM 9
Karnataka,Tumakuru,Main Kharif,Rainfed,MM 9344; Amber; Amber; Jawahar
Karnataka,Tumakuru,Main Kharif,Limited Irrigation,MM 9344; Ganga Safed-2; DMRH-1305; Jawahar
Karnataka,Tumakuru,Late Kharif,Irrigated,MM 9344; PMH-3; CO 6
Karnataka,Tumakuru,Late Kharif,Rainfed,CO 6; Late varieties; Amber; Navjot
Karnataka,Tumakuru,Late Kharif,Limited Irrigation,NAH-2049; Late varieties; Malwa King
Karnataka,Tumakuru,Early Rabi,Irrigated,Deccan Hybrid; P2809W; P2848W; PMH 17
Karnataka,Tumakuru,Early Rabi,Rainfed,MM 9344; P2809W; Amber
Karnataka,Tumakuru,Early Rabi,Limited Irrigation,Deccan Hybrid; CT 1188; Prakash
Karnataka,Tumakuru,Main Rabi,Irrigated,NAH-2049; NAH-2049
Karnataka,Tumakuru,Main Rabi,Rainfed,Deccan Hybrid; Ganga-4
Karnataka,Tumakuru,Main Rabi,Limited Irrigation,CO 6; HQPM-1; Malwa King; Gujarat Makai-6
Karnataka,Tumakuru,Late Rabi,Irrigated,CO 6; Raakhi 1899; CO 6
Karnataka,Tumakuru,Late Rabi,Rainfed,Deccan Hybrid; CT 7722; Amber
Karnataka,Tumakuru,Late Rabi,Limited Irrigation,MM 9344; Kaushal 3339
Karnataka,Kolar,Kharif,Irrigated,Deccan Hybrid; CO 6; CO 6
Karnataka,Kolar,Kharif,Rainfed,Deccan Hybrid; Bisco 855; Vijay; HM-10
